device: NVIDIA H200
target memory GB: 8.0
matmul_size: 8192
step=2170, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2180, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2190, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2200, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2210, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2220, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2230, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2240, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2250, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2260, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2270, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2280, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2290, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2300, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2310, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2320, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2330, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2340, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2350, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2360, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2370, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2380, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2390, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2400, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2410, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2420, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2430, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2440, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2450, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2460, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2470, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2480, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2490, value=0.006285, allocated=8.41GB, reserved=8.91GB
