device: NVIDIA H200
target memory GB: 16.0
matmul_size: 16384
inner_iters: 20
step=353, allocated=17.53GB, reserved=17.53GB
step=354, allocated=17.53GB, reserved=17.53GB
step=355, allocated=17.53GB, reserved=17.53GB
step=356, allocated=17.53GB, reserved=17.53GB
step=357, allocated=17.53GB, reserved=17.53GB
step=358, allocated=17.53GB, reserved=17.53GB
step=359, allocated=17.53GB, reserved=17.53GB
step=360, allocated=17.53GB, reserved=17.53GB
step=361, allocated=17.53GB, reserved=17.53GB
step=362, allocated=17.53GB, reserved=17.53GB
step=363, allocated=17.53GB, reserved=17.53GB
step=364, allocated=17.53GB, reserved=17.53GB
step=365, allocated=17.53GB, reserved=17.53GB
step=366, allocated=17.53GB, reserved=17.53GB
step=367, allocated=17.53GB, reserved=17.53GB
step=368, allocated=17.53GB, reserved=17.53GB
step=369, allocated=17.53GB, reserved=17.53GB
step=370, allocated=17.53GB, reserved=17.53GB
step=371, allocated=17.53GB, reserved=17.53GB
step=372, allocated=17.53GB, reserved=17.53GB
step=373, allocated=17.53GB, reserved=17.53GB
step=374, allocated=17.53GB, reserved=17.53GB
step=375, allocated=17.53GB, reserved=17.53GB
step=376, allocated=17.53GB, reserved=17.53GB
step=377, allocated=17.53GB, reserved=17.53GB
step=378, allocated=17.53GB, reserved=17.53GB
step=379, allocated=17.53GB, reserved=17.53GB
step=380, allocated=17.53GB, reserved=17.53GB
step=381, allocated=17.53GB, reserved=17.53GB
step=382, allocated=17.53GB, reserved=17.53GB
step=383, allocated=17.53GB, reserved=17.53GB
step=384, allocated=17.53GB, reserved=17.53GB
step=385, allocated=17.53GB, reserved=17.53GB
step=386, allocated=17.53GB, reserved=17.53GB
step=387, allocated=17.53GB, reserved=17.53GB
step=388, allocated=17.53GB, reserved=17.53GB
step=389, allocated=17.53GB, reserved=17.53GB
step=390, allocated=17.53GB, reserved=17.53GB
step=391, allocated=17.53GB, reserved=17.53GB
step=392, allocated=17.53GB, reserved=17.53GB
step=393, allocated=17.53GB, reserved=17.53GB
step=394, allocated=17.53GB, reserved=17.53GB
step=395, allocated=17.53GB, reserved=17.53GB
step=396, allocated=17.53GB, reserved=17.53GB
step=397, allocated=17.53GB, reserved=17.53GB
step=398, allocated=17.53GB, reserved=17.53GB
step=399, allocated=17.53GB, reserved=17.53GB
step=400, allocated=17.53GB, reserved=17.53GB
step=401, allocated=17.53GB, reserved=17.53GB
step=402, allocated=17.53GB, reserved=17.53GB
step=403, allocated=17.53GB, reserved=17.53GB
step=404, allocated=17.53GB, reserved=17.53GB
step=405, allocated=17.53GB, reserved=17.53GB
step=406, allocated=17.53GB, reserved=17.53GB
step=407, allocated=17.53GB, reserved=17.53GB
step=408, allocated=17.53GB, reserved=17.53GB
step=409, allocated=17.53GB, reserved=17.53GB
step=410, allocated=17.53GB, reserved=17.53GB
step=411, allocated=17.53GB, reserved=17.53GB
step=412, allocated=17.53GB, reserved=17.53GB
step=413, allocated=17.53GB, reserved=17.53GB
step=414, allocated=17.53GB, reserved=17.53GB
step=415, allocated=17.53GB, reserved=17.53GB
step=416, allocated=17.53GB, reserved=17.53GB
step=417, allocated=17.53GB, reserved=17.53GB
step=418, allocated=17.53GB, reserved=17.53GB
step=419, allocated=17.53GB, reserved=17.53GB
step=420, allocated=17.53GB, reserved=17.53GB
step=421, allocated=17.53GB, reserved=17.53GB
step=422, allocated=17.53GB, reserved=17.53GB
step=423, allocated=17.53GB, reserved=17.53GB
step=424, allocated=17.53GB, reserved=17.53GB
step=425, allocated=17.53GB, reserved=17.53GB
step=426, allocated=17.53GB, reserved=17.53GB
step=427, allocated=17.53GB, reserved=17.53GB
step=428, allocated=17.53GB, reserved=17.53GB
step=429, allocated=17.53GB, reserved=17.53GB
step=430, allocated=17.53GB, reserved=17.53GB
step=431, allocated=17.53GB, reserved=17.53GB
step=432, allocated=17.53GB, reserved=17.53GB
step=433, allocated=17.53GB, reserved=17.53GB
step=434, allocated=17.53GB, reserved=17.53GB
step=435, allocated=17.53GB, reserved=17.53GB
step=436, allocated=17.53GB, reserved=17.53GB
step=437, allocated=17.53GB, reserved=17.53GB
step=438, allocated=17.53GB, reserved=17.53GB
step=439, allocated=17.53GB, reserved=17.53GB
step=440, allocated=17.53GB, reserved=17.53GB
step=441, allocated=17.53GB, reserved=17.53GB
step=442, allocated=17.53GB, reserved=17.53GB
step=443, allocated=17.53GB, reserved=17.53GB
step=444, allocated=17.53GB, reserved=17.53GB
step=445, allocated=17.53GB, reserved=17.53GB
step=446, allocated=17.53GB, reserved=17.53GB
step=447, allocated=17.53GB, reserved=17.53GB
step=448, allocated=17.53GB, reserved=17.53GB
step=449, allocated=17.53GB, reserved=17.53GB
step=450, allocated=17.53GB, reserved=17.53GB
step=451, allocated=17.53GB, reserved=17.53GB
step=452, allocated=17.53GB, reserved=17.53GB
step=453, allocated=17.53GB, reserved=17.53GB
step=454, allocated=17.53GB, reserved=17.53GB
step=455, allocated=17.53GB, reserved=17.53GB
step=456, allocated=17.53GB, reserved=17.53GB
step=457, allocated=17.53GB, reserved=17.53GB
step=458, allocated=17.53GB, reserved=17.53GB
step=459, allocated=17.53GB, reserved=17.53GB
step=460, allocated=17.53GB, reserved=17.53GB
step=461, allocated=17.53GB, reserved=17.53GB
step=462, allocated=17.53GB, reserved=17.53GB
step=463, allocated=17.53GB, reserved=17.53GB
step=464, allocated=17.53GB, reserved=17.53GB
step=465, allocated=17.53GB, reserved=17.53GB
step=466, allocated=17.53GB, reserved=17.53GB
step=467, allocated=17.53GB, reserved=17.53GB
